source,target,Fisher_Z,avg_r
Frontal_Inf_Oper_R,Cerebelum_3_L,0.1181,0.1175
Occipital_Sup_R,Temporal_Inf_R,0.1181,0.1175
Rectus_L,Temporal_Sup_L,0.1181,0.1175
Temporal_Pole_Sup_R,Vermis_6,0.118,0.1174
Frontal_Med_Orb_R,Angular_R,0.118,0.1174
Temporal_Sup_R,Cerebelum_6_L,0.1179,0.1173
Cingulum_Ant_L,Cerebelum_6_L,0.1179,0.1173
Frontal_Sup_R,Frontal_Mid_Orb_R,0.1179,0.1173
Frontal_Med_Orb_L,Angular_R,0.1177,0.1171
Occipital_Inf_L,Putamen_R,0.1176,0.1171
Cuneus_L,Temporal_Inf_R,0.1174,0.1169
Frontal_Sup_Orb_R,Temporal_Mid_L,0.1171,0.1166
Cuneus_R,Occipital_Inf_L,0.1171,0.1166
Occipital_Sup_L,Temporal_Inf_R,0.1171,0.1166
Amygdala_L,Putamen_L,0.117,0.1165
Frontal_Sup_Orb_R,SupraMarginal_L,0.1169,0.1164
Olfactory_L,Amygdala_L,0.1168,0.1162
Cerebelum_3_R,Vermis_6,0.1167,0.1162
Occipital_Mid_L,Temporal_Inf_R,0.1166,0.116
Frontal_Mid_Orb_L,Rectus_R,0.1165,0.116
Frontal_Mid_Orb_L,Calcarine_R,0.1165,0.1159
Frontal_Med_Orb_R,Cingulum_Mid_L,0.1165,0.1159
Frontal_Sup_Orb_R,Occipital_Sup_L,0.1164,0.1159
Frontal_Med_Orb_R,Vermis_3,0.1163,0.1158
Occipital_Inf_L,Temporal_Mid_L,0.1161,0.1156
Cingulum_Mid_L,Temporal_Inf_L,0.116,0.1155
Frontal_Mid_Orb_R,Frontal_Inf_Oper_L,0.1159,0.1154
Frontal_Med_Orb_R,Postcentral_L,0.1159,0.1154
Frontal_Mid_Orb_R,Supp_Motor_Area_L,0.1158,0.1153
Frontal_Sup_L,Cerebelum_6_L,0.1157,0.1151
Amygdala_L,Lingual_L,0.1156,0.1151
Frontal_Mid_Orb_R,Fusiform_R,0.1155,0.115
Occipital_Sup_L,Occipital_Inf_L,0.1155,0.115
Olfactory_L,Cerebelum_4_5_R,0.1154,0.1149
Rectus_R,Temporal_Pole_Sup_L,0.1154,0.1149
Amygdala_R,Temporal_Mid_L,0.1154,0.1149
Rolandic_Oper_L,Olfactory_R,0.1153,0.1148
Frontal_Med_Orb_L,SupraMarginal_L,0.1153,0.1148
Occipital_Sup_R,Pallidum_R,0.1153,0.1148
Occipital_Inf_L,Heschl_R,0.1152,0.1147
Frontal_Mid_R,Frontal_Mid_Orb_L,0.1152,0.1147
Frontal_Mid_Orb_L,Heschl_R,0.1152,0.1147
Rolandic_Oper_R,Vermis_1_2,0.1151,0.1146
Frontal_Mid_Orb_R,Caudate_L,0.115,0.1144
Amygdala_R,Vermis_4_5,0.115,0.1145
Supp_Motor_Area_R,Temporal_Inf_L,0.1149,0.1144
Frontal_Sup_Medial_R,Temporal_Inf_L,0.1148,0.1143
Olfactory_R,Amygdala_R,0.1148,0.1143
Olfactory_R,Hippocampus_R,0.1147,0.1142
Frontal_Med_Orb_L,Parietal_Inf_R,0.1144,0.1139
Frontal_Inf_Orb_L,Pallidum_R,0.1144,0.1139
Rectus_R,Caudate_L,0.1143,0.1138
Frontal_Mid_Orb_L,Caudate_L,0.1142,0.1137
Amygdala_L,Putamen_R,0.1141,0.1136
Frontal_Inf_Orb_L,Olfactory_L,0.114,0.1135
Rectus_L,Caudate_R,0.1138,0.1133
Cingulum_Mid_R,Temporal_Inf_L,0.1137,0.1132
Frontal_Med_Orb_R,Occipital_Sup_R,0.1137,0.1132
Thalamus_L,Temporal_Mid_R,0.1136,0.1132
Rectus_L,Cerebelum_4_5_L,0.1136,0.1131
Temporal_Pole_Sup_R,Temporal_Mid_L,0.1134,0.1129
Cingulum_Ant_L,Occipital_Inf_L,0.1134,0.1129
Amygdala_L,Cerebelum_3_R,0.1134,0.113
Frontal_Mid_Orb_L,Frontal_Inf_Oper_R,0.1133,0.1128
Supp_Motor_Area_R,Frontal_Med_Orb_L,0.1133,0.1128
Frontal_Sup_Orb_R,Cuneus_R,0.1133,0.1128
Supp_Motor_Area_L,Olfactory_L,0.113,0.1125
Temporal_Mid_L,Cerebelum_6_R,0.113,0.1125
Insula_L,Temporal_Inf_L,0.1129,0.1124
Precentral_R,Rectus_L,0.1129,0.1124
Precuneus_R,Temporal_Inf_L,0.1128,0.1123
Insula_L,Temporal_Inf_R,0.1128,0.1123
Frontal_Sup_R,Rectus_L,0.1128,0.1123
Calcarine_L,Cerebelum_6_R,0.1128,0.1124
Frontal_Mid_Orb_L,Pallidum_R,0.1127,0.1122
Rolandic_Oper_R,Occipital_Inf_R,0.1127,0.1123
Frontal_Mid_Orb_L,SupraMarginal_L,0.1125,0.112
Precuneus_L,Temporal_Inf_L,0.1125,0.112
Frontal_Inf_Tri_L,Cerebelum_3_L,0.1124,0.112
Hippocampus_L,Occipital_Inf_L,0.1123,0.1119
Frontal_Sup_L,Olfactory_L,0.1123,0.1118
Temporal_Pole_Sup_R,Cerebelum_3_L,0.1122,0.1118
Cerebelum_6_R,Vermis_3,0.1121,0.1116
Frontal_Sup_Medial_R,Temporal_Inf_R,0.112,0.1115
Frontal_Med_Orb_R,SupraMarginal_L,0.1119,0.1114
Temporal_Sup_R,Cerebelum_6_R,0.1119,0.1114
Rectus_L,Caudate_L,0.1116,0.1111
Occipital_Inf_L,Heschl_L,0.1114,0.111
Frontal_Sup_Orb_R,Postcentral_L,0.1112,0.1108
Frontal_Mid_Orb_L,Thalamus_L,0.1112,0.1108
Frontal_Med_Orb_R,Temporal_Mid_L,0.1111,0.1107
Occipital_Mid_R,Thalamus_R,0.1111,0.1106
Occipital_Sup_R,Cerebelum_6_L,0.1111,0.1106
Frontal_Sup_Medial_L,Cerebelum_6_L,0.111,0.1105
Rectus_L,Cingulum_Ant_R,0.111,0.1105
Frontal_Mid_R,Temporal_Pole_Sup_L,0.1107,0.1102
Frontal_Sup_Orb_R,Angular_L,0.1107,0.1103
Amygdala_R,Temporal_Sup_L,0.1106,0.1101
Amygdala_R,Cerebelum_4_5_L,0.1105,0.11
Frontal_Med_Orb_R,Pallidum_R,0.1105,0.1101
Olfactory_L,Heschl_R,0.1104,0.11
Frontal_Sup_Orb_R,Angular_R,0.1103,0.1099
Postcentral_R,Temporal_Inf_L,0.1102,0.1098
Frontal_Mid_L,Frontal_Med_Orb_L,0.1101,0.1097
Olfactory_R,Thalamus_L,0.1101,0.1096
Frontal_Mid_Orb_L,Amygdala_L,0.1099,0.1094
Hippocampus_L,Amygdala_L,0.1098,0.1094
Frontal_Med_Orb_R,Fusiform_R,0.1098,0.1094
Frontal_Sup_Orb_L,Temporal_Mid_L,0.1098,0.1093
Occipital_Mid_R,Occipital_Inf_L,0.1095,0.109
Frontal_Med_Orb_R,Cerebelum_6_L,0.1091,0.1087
Olfactory_L,SupraMarginal_R,0.109,0.1086
ParaHippocampal_L,Cerebelum_6_L,0.109,0.1085
Calcarine_L,Vermis_1_2,0.1089,0.1085
Frontal_Mid_Orb_L,Cuneus_L,0.1089,0.1085
Frontal_Inf_Orb_R,Hippocampus_R,0.1087,0.1082
Supp_Motor_Area_L,Rectus_L,0.1086,0.1082
Fusiform_R,Vermis_6,0.1086,0.1082
Cuneus_R,Temporal_Inf_R,0.1084,0.108
Frontal_Mid_Orb_L,Cingulum_Mid_L,0.1082,0.1078
Rectus_R,Heschl_L,0.1079,0.1074
Frontal_Inf_Oper_R,Olfactory_L,0.1078,0.1074
Olfactory_L,Occipital_Mid_R,0.1077,0.1073
Occipital_Inf_L,Cerebelum_3_R,0.1076,0.1072
Frontal_Inf_Orb_L,ParaHippocampal_R,0.1076,0.1072
Cuneus_L,Occipital_Inf_L,0.1074,0.107
Rectus_L,Temporal_Sup_R,0.1073,0.1069
Olfactory_L,Fusiform_L,0.1072,0.1068
Frontal_Mid_R,Cerebelum_4_5_R,0.1072,0.1068
Rectus_R,Pallidum_L,0.1072,0.1068
Frontal_Sup_Orb_L,Thalamus_R,0.107,0.1066
Occipital_Sup_L,Temporal_Pole_Sup_R,0.107,0.1066
Olfactory_R,Cingulum_Ant_R,0.107,0.1066
Occipital_Inf_L,Caudate_R,0.1069,0.1065
Cingulum_Post_L,Cerebelum_3_R,0.1069,0.1065
Precentral_L,Frontal_Sup_Orb_R,0.1068,0.1064
Frontal_Med_Orb_L,Parietal_Inf_L,0.1066,0.1062
Cingulum_Ant_L,Temporal_Inf_R,0.1065,0.1061
Amygdala_L,Calcarine_R,0.1065,0.1061
Occipital_Mid_R,Pallidum_L,0.1065,0.1061
Olfactory_L,Temporal_Mid_R,0.1065,0.1061
Frontal_Sup_Orb_R,Cingulum_Post_R,0.1064,0.106
Rectus_R,Caudate_R,0.1064,0.106
Precuneus_L,Cerebelum_3_R,0.1062,0.1058
Hippocampus_R,Temporal_Inf_L,0.1061,0.1057
Rolandic_Oper_L,Temporal_Inf_L,0.106,0.1056
Frontal_Sup_Orb_L,Paracentral_Lobule_L,0.106,0.1056
Frontal_Med_Orb_R,Cingulum_Mid_R,0.106,0.1056
Frontal_Mid_Orb_R,Thalamus_R,0.1057,0.1054
Frontal_Sup_Orb_L,Parietal_Inf_R,0.1057,0.1053
Occipital_Mid_R,Cerebelum_6_L,0.1056,0.1052
Parietal_Inf_L,Temporal_Inf_L,0.1056,0.1052
Frontal_Mid_Orb_R,Frontal_Sup_Medial_L,0.1055,0.1051
Cuneus_R,Temporal_Pole_Sup_R,0.1054,0.105
Frontal_Sup_Orb_R,Paracentral_Lobule_L,0.1054,0.105
Hippocampus_R,Temporal_Inf_R,0.1053,0.1049
Frontal_Mid_Orb_R,Vermis_3,0.1053,0.1049
Frontal_Med_Orb_R,Occipital_Mid_R,0.1052,0.1048
Amygdala_L,Calcarine_L,0.1052,0.1048
Heschl_L,Temporal_Mid_R,0.1052,0.1048
Rectus_L,Heschl_R,0.105,0.1046
Angular_R,Temporal_Pole_Sup_L,0.1049,0.1045
Frontal_Sup_Orb_R,Precuneus_L,0.1049,0.1045
Precuneus_L,Temporal_Pole_Sup_L,0.1049,0.1045
Frontal_Inf_Orb_R,Amygdala_L,0.1048,0.1044
Frontal_Sup_R,Temporal_Inf_R,0.1047,0.1043
Frontal_Sup_Medial_L,Temporal_Inf_L,0.1046,0.1042
Rectus_L,Cuneus_L,0.1045,0.1041
Frontal_Med_Orb_R,Occipital_Sup_L,0.1044,0.104
Frontal_Med_Orb_R,Cuneus_R,0.1044,0.1041
Putamen_R,Cerebelum_3_R,0.1043,0.1039
Frontal_Sup_Orb_L,Precuneus_R,0.1043,0.104
Rectus_L,Heschl_L,0.1042,0.1038
Occipital_Sup_L,Temporal_Inf_L,0.1042,0.1038
Heschl_L,Cerebelum_3_R,0.1041,0.1037
Cingulum_Post_R,Temporal_Pole_Sup_R,0.1041,0.1037
Putamen_R,Cerebelum_6_L,0.104,0.1037
Frontal_Sup_Medial_R,Cerebelum_6_L,0.1039,0.1036
Cingulum_Ant_R,Temporal_Inf_L,0.1037,0.1033
Amygdala_R,Cerebelum_3_R,0.1035,0.1032
Olfactory_L,Hippocampus_R,0.1035,0.1031
Olfactory_L,Putamen_R,0.1034,0.103
Frontal_Sup_Orb_L,Occipital_Mid_R,0.1034,0.103
Occipital_Inf_L,Pallidum_L,0.1034,0.103
Insula_L,Vermis_1_2,0.1033,0.103
Precentral_L,Frontal_Med_Orb_L,0.1032,0.1029
Frontal_Sup_L,Olfactory_R,0.1031,0.1027
Frontal_Sup_Orb_L,Amygdala_L,0.1028,0.1024
Frontal_Sup_Orb_L,Precuneus_L,0.1028,0.1024
Heschl_L,Temporal_Inf_L,0.1028,0.1024
Occipital_Inf_L,SupraMarginal_L,0.1027,0.1023
Postcentral_L,Temporal_Inf_L,0.1025,0.1022
Cingulum_Post_R,Temporal_Inf_L,0.1024,0.1021
Frontal_Inf_Oper_R,Rectus_L,0.1024,0.102
Frontal_Mid_Orb_R,Cuneus_L,0.1024,0.102
Pallidum_R,Cerebelum_3_L,0.1023,0.1019
ParaHippocampal_L,Amygdala_R,0.1022,0.1019
Paracentral_Lobule_L,Temporal_Inf_L,0.1022,0.1018
Frontal_Sup_L,Cerebelum_3_R,0.1021,0.1017
Frontal_Med_Orb_L,Cuneus_R,0.1021,0.1017
Amygdala_R,Lingual_L,0.102,0.1017
Frontal_Mid_Orb_R,Postcentral_R,0.1018,0.1015
Precentral_R,Frontal_Mid_Orb_R,0.1018,0.1014
Olfactory_L,Cuneus_R,0.1018,0.1014
Olfactory_R,ParaHippocampal_L,0.1017,0.1013
Frontal_Sup_Orb_L,Angular_L,0.1016,0.1012
Frontal_Med_Orb_R,Angular_L,0.1015,0.1012
Pallidum_R,Temporal_Pole_Sup_L,0.1015,0.1011
Frontal_Inf_Orb_L,Cerebelum_6_L,0.1013,0.1009
Rolandic_Oper_L,Temporal_Inf_R,0.1013,0.101
Frontal_Med_Orb_L,Cerebelum_4_5_L,0.1012,0.1008
Olfactory_L,Rectus_R,0.1012,0.1009
Putamen_L,Temporal_Inf_R,0.1011,0.1008
Frontal_Inf_Oper_L,Temporal_Pole_Sup_R,0.101,0.1007
Frontal_Mid_Orb_L,Occipital_Mid_L,0.1009,0.1006
Parietal_Sup_R,Cerebelum_3_L,0.1009,0.1006
Rectus_L,Cingulum_Mid_L,0.1008,0.1004
Amygdala_R,Putamen_R,0.1008,0.1005
Vermis_3,Vermis_6,0.1007,0.1004
Frontal_Med_Orb_R,Parietal_Inf_R,0.1006,0.1002
ParaHippocampal_L,Amygdala_L,0.1005,0.1001
Occipital_Inf_L,Temporal_Sup_R,0.1004,0.1
Frontal_Inf_Orb_R,Occipital_Mid_R,0.1003,0.1
Amygdala_L,Fusiform_L,0.1002,0.0999
Frontal_Mid_Orb_L,Fusiform_R,0.1002,0.0999
Frontal_Med_Orb_L,Occipital_Sup_R,0.1002,0.0999
Precentral_R,Olfactory_L,0.1001,0.0998
Frontal_Mid_Orb_R,Supp_Motor_Area_R,0.1,0.0997
Paracentral_Lobule_L,Cerebelum_3_R,0.0999,0.0996
Olfactory_R,Occipital_Sup_L,0.0998,0.0994
Frontal_Sup_Medial_R,Occipital_Inf_L,0.0997,0.0994
Temporal_Pole_Sup_L,Temporal_Inf_L,0.0997,0.0994
Temporal_Inf_L,Cerebelum_3_R,0.0996,0.0993
Frontal_Mid_Orb_R,SupraMarginal_R,0.0995,0.0992
Frontal_Med_Orb_L,Cingulum_Mid_R,0.0995,0.0992
Olfactory_L,Cerebelum_3_R,0.0993,0.099
Temporal_Pole_Sup_L,Temporal_Inf_R,0.0993,0.099
Frontal_Mid_Orb_R,Cingulum_Mid_L,0.0993,0.0989
Cerebelum_3_L,Cerebelum_6_R,0.0993,0.099
Frontal_Mid_Orb_R,Heschl_R,0.0992,0.0989
Parietal_Inf_R,Temporal_Pole_Sup_L,0.0988,0.0985
Frontal_Sup_Orb_L,Parietal_Inf_L,0.0988,0.0984
Supp_Motor_Area_R,Cerebelum_3_R,0.0987,0.0984
Frontal_Mid_Orb_L,Supp_Motor_Area_L,0.0986,0.0982
Vermis_1_2,Vermis_6,0.0986,0.0983
Frontal_Sup_R,Vermis_1_2,0.0986,0.0983
Frontal_Sup_R,Occipital_Inf_L,0.0985,0.0981
Olfactory_R,Fusiform_R,0.0984,0.098
Caudate_R,Cerebelum_6_L,0.0984,0.0981
Putamen_R,Temporal_Inf_R,0.0984,0.0981
Hippocampus_R,Cerebelum_6_L,0.0982,0.0979
Supp_Motor_Area_R,Olfactory_L,0.0981,0.0977
Frontal_Inf_Tri_L,Temporal_Pole_Sup_R,0.098,0.0977
Frontal_Med_Orb_L,Cingulum_Post_L,0.098,0.0976
Frontal_Sup_Orb_L,Thalamus_L,0.098,0.0977
Olfactory_R,Cerebelum_4_5_L,0.0977,0.0973
Frontal_Sup_R,Frontal_Mid_Orb_L,0.0977,0.0974
Insula_R,Occipital_Inf_R,0.0977,0.0974
Frontal_Sup_Medial_L,Temporal_Inf_R,0.0977,0.0974
Frontal_Mid_Orb_L,Cingulum_Ant_R,0.0976,0.0973
Olfactory_L,Paracentral_Lobule_L,0.0976,0.0973
Rolandic_Oper_R,Rectus_R,0.0975,0.0972
Frontal_Med_Orb_R,Fusiform_L,0.0975,0.0972
Precentral_L,Temporal_Inf_L,0.0973,0.097
Frontal_Med_Orb_L,Occipital_Sup_L,0.0973,0.097
Frontal_Mid_Orb_L,Postcentral_L,0.0971,0.0968
Rectus_L,Vermis_3,0.097,0.0967
Olfactory_R,Temporal_Mid_L,0.097,0.0967
Cerebelum_4_5_L,Vermis_6,0.0969,0.0966
Frontal_Inf_Tri_R,Cerebelum_3_L,0.0968,0.0965
ParaHippocampal_L,Vermis_1_2,0.0968,0.0965
Frontal_Med_Orb_L,Temporal_Mid_L,0.0968,0.0965
Temporal_Pole_Sup_L,Cerebelum_6_R,0.0968,0.0965
Amygdala_R,Cerebelum_6_L,0.0968,0.0965
Amygdala_R,Temporal_Mid_R,0.0967,0.0964
Amygdala_L,Caudate_R,0.0967,0.0964
Frontal_Med_Orb_R,Cingulum_Post_L,0.0965,0.0962
Frontal_Sup_Orb_L,Olfactory_R,0.0964,0.0961
Occipital_Inf_L,Angular_L,0.0964,0.0961
Olfactory_R,Cingulum_Ant_L,0.0962,0.0959
Paracentral_Lobule_R,Temporal_Inf_L,0.0962,0.0959
Lingual_L,Vermis_6,0.0962,0.0959
Precentral_R,Temporal_Inf_L,0.0962,0.0959
Supp_Motor_Area_L,Temporal_Inf_L,0.0959,0.0956
Rectus_L,Postcentral_L,0.0958,0.0955
Olfactory_R,ParaHippocampal_R,0.0958,0.0955
Olfactory_L,Paracentral_Lobule_R,0.0958,0.0955
Temporal_Pole_Sup_L,Temporal_Mid_R,0.0957,0.0954
Frontal_Mid_Orb_L,Cerebelum_4_5_L,0.0957,0.0954
Fusiform_L,Temporal_Inf_R,0.0957,0.0954
Frontal_Med_Orb_L,Cingulum_Mid_L,0.0956,0.0953
Insula_R,Cerebelum_6_R,0.0956,0.0953
Frontal_Med_Orb_L,Vermis_3,0.0956,0.0953
Frontal_Med_Orb_L,Cerebelum_4_5_R,0.0956,0.0953
Caudate_L,Temporal_Inf_L,0.0955,0.0952
Supp_Motor_Area_L,Olfactory_R,0.0955,0.0952
Amygdala_L,Temporal_Sup_R,0.0955,0.0952
Frontal_Inf_Orb_L,Amygdala_L,0.0954,0.0951
Olfactory_R,Calcarine_R,0.0952,0.0949
Temporal_Mid_R,Cerebelum_3_L,0.0951,0.0949
Paracentral_Lobule_L,Temporal_Pole_Sup_R,0.0951,0.0948
Frontal_Mid_L,Frontal_Mid_Orb_L,0.095,0.0947
Parietal_Sup_L,Temporal_Inf_L,0.0949,0.0946
Frontal_Inf_Tri_L,Olfactory_R,0.0949,0.0947
Rectus_L,Cerebelum_6_L,0.0948,0.0945
Cuneus_R,Cerebelum_6_L,0.0947,0.0944
Caudate_R,Temporal_Inf_L,0.0946,0.0943
Rolandic_Oper_L,Rectus_R,0.0945,0.0942
Frontal_Med_Orb_R,Amygdala_L,0.0945,0.0942
Amygdala_R,Calcarine_L,0.0944,0.0941
Olfactory_L,Occipital_Mid_L,0.0944,0.0941
Frontal_Med_Orb_L,Angular_L,0.0942,0.094
Frontal_Sup_Orb_R,Thalamus_L,0.0939,0.0936
Frontal_Mid_Orb_L,Vermis_3,0.0939,0.0936
SupraMarginal_R,Temporal_Inf_L,0.0938,0.0935
Cuneus_L,Cerebelum_6_L,0.0937,0.0935
Parietal_Sup_R,Pallidum_L,0.0937,0.0934
Supp_Motor_Area_L,Temporal_Pole_Sup_R,0.0936,0.0933
Olfactory_L,Postcentral_L,0.0936,0.0933
Olfactory_R,Frontal_Sup_Medial_L,0.0936,0.0934
Vermis_6,Vermis_7,0.0935,0.0932
Amygdala_R,Calcarine_R,0.0935,0.0932
Insula_L,Cerebelum_6_R,0.0934,0.0931
Occipital_Inf_L,Cerebelum_6_L,0.0934,0.0931
Frontal_Inf_Orb_L,Cerebelum_6_R,0.0934,0.0931
Occipital_Sup_R,Temporal_Inf_L,0.0933,0.0931
Heschl_L,Cerebelum_6_L,0.0931,0.0928
Rectus_L,Cerebelum_3_L,0.093,0.0927
Frontal_Mid_Orb_L,Postcentral_R,0.093,0.0927
Temporal_Sup_L,Cerebelum_6_R,0.093,0.0927
Rectus_L,Paracentral_Lobule_L,0.093,0.0928
Rectus_R,Cingulum_Ant_L,0.093,0.0927
Frontal_Inf_Orb_R,Parietal_Sup_L,0.0929,0.0927
Frontal_Med_Orb_R,Cingulum_Post_R,0.0929,0.0926
Frontal_Med_Orb_L,Paracentral_Lobule_L,0.0929,0.0926
Temporal_Sup_L,Vermis_1_2,0.0928,0.0925
Pallidum_L,Temporal_Inf_R,0.0928,0.0925
Amygdala_R,Lingual_R,0.0928,0.0926
Olfactory_L,ParaHippocampal_R,0.0926,0.0923
Postcentral_L,Temporal_Pole_Sup_R,0.0926,0.0924
Frontal_Inf_Orb_R,Cerebelum_3_L,0.0924,0.0922
Frontal_Inf_Oper_L,Cerebelum_3_R,0.0923,0.0921
Olfactory_R,Fusiform_L,0.0921,0.0918
Frontal_Med_Orb_L,Thalamus_R,0.0921,0.0919
Frontal_Inf_Orb_R,ParaHippocampal_L,0.0921,0.0918
Pallidum_L,Temporal_Inf_L,0.092,0.0917
Frontal_Sup_Orb_R,Paracentral_Lobule_R,0.092,0.0917
Cuneus_L,Cerebelum_6_R,0.0919,0.0917
Frontal_Mid_R,Cerebelum_6_L,0.0917,0.0915
Olfactory_R,Temporal_Pole_Sup_L,0.0917,0.0915
Frontal_Mid_Orb_L,Cuneus_R,0.0916,0.0914
Frontal_Med_Orb_L,Occipital_Mid_R,0.0916,0.0913
Frontal_Mid_Orb_R,Cingulum_Mid_R,0.0916,0.0913
Frontal_Sup_Orb_R,Thalamus_R,0.0916,0.0913
Caudate_R,Cerebelum_3_R,0.0916,0.0913
Rectus_R,Temporal_Pole_Sup_R,0.0916,0.0913
Rectus_R,Putamen_L,0.0915,0.0913
Temporal_Inf_R,Vermis_3,0.0915,0.0913
Frontal_Sup_Orb_R,Parietal_Inf_L,0.0915,0.0912
Frontal_Med_Orb_R,Cerebelum_3_L,0.0915,0.0913
Olfactory_R,Cuneus_R,0.0914,0.0912
Frontal_Inf_Orb_R,Rectus_R,0.0914,0.0912
Frontal_Sup_R,Olfactory_R,0.0914,0.0912
Frontal_Mid_Orb_R,Amygdala_R,0.0913,0.091
Occipital_Inf_L,SupraMarginal_R,0.091,0.0907
Supp_Motor_Area_L,Cerebelum_6_L,0.091,0.0907
Frontal_Inf_Orb_L,Temporal_Inf_L,0.091,0.0907
Frontal_Mid_R,Temporal_Inf_L,0.0909,0.0906
Frontal_Sup_Orb_R,Amygdala_L,0.0909,0.0906
Hippocampus_L,Amygdala_R,0.0908,0.0905
Frontal_Mid_R,Olfactory_L,0.0907,0.0905
Precentral_R,Temporal_Pole_Sup_R,0.0906,0.0903
Cingulum_Mid_L,Temporal_Pole_Sup_R,0.0906,0.0904
Olfactory_L,Cingulum_Mid_L,0.0904,0.0902
Olfactory_L,Occipital_Sup_R,0.0904,0.0901
Precentral_R,Frontal_Mid_Orb_L,0.0902,0.0899
Supp_Motor_Area_L,Cerebelum_3_R,0.0901,0.0899
Rectus_L,Occipital_Sup_R,0.09,0.0898
Occipital_Inf_R,Temporal_Pole_Sup_R,0.09,0.0897
Frontal_Inf_Orb_L,Occipital_Mid_R,0.09,0.0897
Caudate_L,Cerebelum_3_R,0.0899,0.0896
Calcarine_R,Vermis_6,0.0899,0.0897
Supp_Motor_Area_R,Rectus_L,0.0899,0.0896
Frontal_Sup_R,Cerebelum_6_R,0.0897,0.0895
Occipital_Inf_L,Caudate_L,0.0896,0.0894
Frontal_Inf_Orb_R,Temporal_Inf_L,0.0896,0.0894
Frontal_Inf_Oper_R,Cerebelum_3_R,0.0896,0.0894
ParaHippocampal_R,Temporal_Pole_Sup_R,0.0895,0.0892
Paracentral_Lobule_R,Cerebelum_3_R,0.0894,0.0891
Frontal_Med_Orb_L,Cingulum_Post_R,0.0892,0.0889
Frontal_Med_Orb_R,Temporal_Inf_R,0.0892,0.0889
Amygdala_L,Vermis_6,0.0891,0.0889
Cingulum_Ant_L,Temporal_Inf_L,0.0891,0.0889
Frontal_Sup_L,Temporal_Inf_L,0.0891,0.0889
Frontal_Sup_Orb_R,Parietal_Inf_R,0.0891,0.0889
Hippocampus_R,Temporal_Pole_Sup_L,0.089,0.0888
Frontal_Sup_Medial_R,Cerebelum_6_R,0.0889,0.0886
Amygdala_R,Temporal_Pole_Sup_L,0.0889,0.0887
Amygdala_L,Temporal_Pole_Mid_R,0.0886,0.0884
Amygdala_R,Cuneus_R,0.0886,0.0884
Amygdala_R,Cerebelum_6_R,0.0885,0.0883
Cingulum_Ant_R,Vermis_1_2,0.0883,0.0881
Rolandic_Oper_L,Amygdala_L,0.0882,0.088
Occipital_Sup_R,Vermis_1_2,0.0877,0.0875
Temporal_Pole_Sup_R,Temporal_Inf_L,0.0877,0.0874
Olfactory_R,Occipital_Mid_L,0.0876,0.0874
Parietal_Inf_R,Cerebelum_3_R,0.0875,0.0872
Frontal_Mid_Orb_R,SupraMarginal_L,0.0875,0.0872
ParaHippocampal_R,Occipital_Inf_L,0.0874,0.0872
Olfactory_L,SupraMarginal_L,0.0873,0.0871
Occipital_Sup_L,Cerebelum_6_L,0.0873,0.0871
Frontal_Sup_Medial_L,Rectus_L,0.0872,0.0869
Amygdala_R,Thalamus_R,0.0872,0.087
Frontal_Sup_Orb_L,Paracentral_Lobule_R,0.0872,0.087
Frontal_Mid_Orb_L,Amygdala_R,0.0872,0.087
Occipital_Inf_L,Vermis_3,0.087,0.0868
Frontal_Mid_Orb_R,Thalamus_L,0.087,0.0868
Frontal_Inf_Orb_R,Olfactory_L,0.0869,0.0867
Cerebelum_6_R,Vermis_1_2,0.0868,0.0866
Frontal_Mid_Orb_R,Cingulum_Post_R,0.0868,0.0865
Frontal_Med_Orb_L,Occipital_Inf_L,0.0866,0.0864
Olfactory_R,Hippocampus_L,0.0866,0.0864
ParaHippocampal_R,Temporal_Pole_Sup_L,0.0866,0.0864
Frontal_Inf_Tri_L,Rectus_R,0.0865,0.0863
Olfactory_R,Lingual_L,0.0864,0.0862
Amygdala_L,Caudate_L,0.0863,0.0861
ParaHippocampal_R,Cerebelum_6_L,0.0863,0.0861
Frontal_Med_Orb_R,Thalamus_R,0.0863,0.0861
Temporal_Mid_R,Cerebelum_6_R,0.0863,0.0861
Cingulum_Ant_R,Cerebelum_6_R,0.0862,0.0859
Occipital_Inf_R,Temporal_Inf_R,0.0861,0.0859
Temporal_Mid_R,Vermis_1_2,0.0861,0.0858
Frontal_Sup_L,Temporal_Inf_R,0.0861,0.0859
Rectus_L,Thalamus_L,0.0859,0.0857
Rolandic_Oper_L,Vermis_1_2,0.0858,0.0856
Insula_L,Amygdala_R,0.0857,0.0855
Frontal_Med_Orb_L,Cerebelum_6_L,0.0856,0.0854
Frontal_Mid_Orb_R,Heschl_L,0.0856,0.0854
Frontal_Inf_Orb_R,ParaHippocampal_R,0.0856,0.0854
Insula_R,Amygdala_R,0.0856,0.0854
Frontal_Mid_R,Olfactory_R,0.0856,0.0854
Olfactory_L,Cingulum_Mid_R,0.0855,0.0853
Olfactory_R,Cuneus_L,0.0854,0.0852
Amygdala_R,Vermis_3,0.0853,0.0851
Temporal_Sup_L,Vermis_6,0.0852,0.085
Frontal_Inf_Oper_L,Cerebelum_6_L,0.0852,0.085
Olfactory_R,Frontal_Sup_Medial_R,0.085,0.0848
Rectus_L,Cingulum_Mid_R,0.085,0.0848
